859,1945,924,0,104
860,1945,919,0,101
861,1946,915,0,103
862,1946,912,0,109
863,1949,909,0,110
864,1953,910,0,103
865,1953,913,0,97
866,1951,914,0,92
867,1949,916,0,93
868,1950,919,0,89
869,1950,922,0,78
870,1955,923,0,66
871,1956,920,0,65
872,1956,919,0,71
873,1956,916,0,65
874,1957,915,0,64
875,1960,921,0,59
876,1962,916,0,44
877,1958,919,0,52
878,1958,918,0,52
879,1961,919,0,51
880,1960,918,0,46
881,1958,919,0,42
882,1957,920,0,32
883,1962,917,0,25
884,1962,915,0,6
885,1961,912,0,353
886,1962,909,0,333
887,1961,905,0,333
888,1958,902,0,328
889,1957,902,0,324
890,1954,903,0,321
891,1953,897,0,329
892,1952,899,0,322
893,1950,897,0,318
894,1952,897,0,318
895,1949,896,0,318
896,1945,891,0,313
897,1945,892,0,306
898,1946,891,0,296
899,1943,888,0,291
900,1941,887,0,286
901,1941,887,0,284
902,1941,888,0,285
903,1941,892,0,279
904,1941,896,0,276
905,1941,899,0,286
906,1941,902,0,281
907,1939,903,0,271
908,1941,904,0,264
909,1941,903,0,255
910,1942,908,0,232
911,1945,909,0,237
912,1944,910,0,230
913,1946,909,0,230
914,1946,909,0,247
915,1946,907,0,246
916,1944,912,0,237
917,1944,912,0,222
918,1947,913,0,207
919,1948,915,0,204
920,1959,921,0,185
921,1959,918,0,172
922,1961,918,0,169
923,1960,918,0,169
924,1959,918,0,168
925,1959,919,0,163
926,1963,921,0,164
927,1965,922,0,161
928,1969,922,0,150
929,1973,922,0,146
930,1974,926,0,148
931,1974,928,0,147
932,1977,929,0,143
933,1978,930,0,143
934,1984,932,0,144
935,1985,933,0,149
936,1992,935,0,145
937,1995,938,0,134
938,1995,941,0,134
939,1996,943,0,133
940,1996,944,0,136
941,1998,942,0,139
942,2003,943,0,146
943,2008,943,0,145
944,2014,944,0,143
945,2019,948,0,138
946,2021,950,0,134
947,2020,952,0,135
948,2020,950,0,149
949,2023,951,0,145
950,2026,951,0,147
951,2023,947,0,148
952,2021,948,0,146
953,2018,949,0,140
954,2018,952,0,131
955,2017,952,0,120
956,2016,952,0,115
957,2014,952,0,116
958,2016,952,0,111
959,2016,952,0,113
960,2013,950,0,109
961,2012,950,0,106
962,2012,951,0,117
963,2016,953,0,130
964,2021,958,0,125
965,2021,956,0,130
966,2018,953,0,139
967,2016,952,0,139
968,2017,951,0,133
969,2015,952,0,135
970,2018,953,0,134
971,2023,954,0,131
972,2024,958,0,129
973,2023,957,0,129
974,2023,955,0,129
975,2022,953,0,125
976,2023,953,0,119
977,2024,952,0,104
978,2020,953,0,96
979,2022,954,0,87
980,2020,956,0,81
981,2017,958,0,79
982,2018,962,0,77
983,2016,965,0,68
984,2015,967,0,64
985,2017,965,0,65
986,2020,966,0,59
987,2024,970,0,43
988,2024,976,0,32
989,2023,978,0,26
990,2022,978,0,26
991,2025,979,0,23
992,2031,981,0,17
993,2032,980,0,14
994,2035,982,0,15
995,2032,981,0,12
996,2032,979,0,9
997,2032,981,0,10
998,2034,980,0,6
999,2035,978,0,358
1000,2041,981,0,335
1001,2041,974,0,329
1002,2038,971,0,327
1003,2042,961,0,324
1004,2037,967,0,332
1005,2036,967,0,329
1006,2036,968,0,332
1007,2037,971,0,334
1008,2032,972,0,330
1009,2033,971,0,332
1010,2034,969,0,331
1011,2033,968,0,330
1012,2030,966,0,335
1013,2029,964,0,337
1014,2029,963,0,338
1015,2028,963,0,338
1016,2028,962,0,340
1017,2030,961,0,341
1018,2031,960,0,339
1019,2030,960,0,333
1020,2031,960,0,334
1021,2032,960,0,335
1022,2035,962,0,332
1023,2035,959,0,332
1024,2036,960,0,332
1025,2035,959,0,328
1026,2034,957,0,322
1027,2035,956,0,319
1028,2039,955,0,313
1029,2037,955,0,308
1030,2036,954,0,305
1031,2034,953,0,303
1032,2030,952,0,301
1033,2029,951,0,303
1034,2027,950,0,298
1035,2028,948,0,295
1036,2028,946,0,300
1037,2029,943,0,303
1038,2028,942,0,305
1039,2027,938,0,301
1040,2026,935,0,302
1041,2026,931,0,306
